"","TeamId","TeamName","TotalUSDPrize","TotalTournaments"
"1",145,"SK Telecom T1",7139771.24,46
"2",144,"Samsung",4252048.74,19
"3",124,"Invictus Gaming",4176617.93,65
"4",343,"Royal Never Give Up",3109363.51,26
"5",118,"Fnatic",2872325.44,72
"6",311,"EDward Gaming",2723713.96,40
"7",256,"G2 Esports",2423913.52,53
"8",212,"Cloud9",1845716.65,68
"9",123,"World Elite",1783573.42,62
"10",196,"Team SoloMid",1695975.02,77
"11",213,"Taipei Assassins",1529565.39,24
"12",24706,"FunPlus Phoenix",1345169.3,9
"13",184,"Flash Wolves",1302176.88,36
"14",177,"KT Rolster",1142290.13,40
"15",802,"Top Esports",1024395.86,9
"16",267,"ROX Gaming",979041.98,12
"17",207,"Counter Logic Gaming",951858.22,72
"18",102,"Team Liquid",900463.5,24
"19",24703,"DAMWON Gaming",873905.84,11
"20",403,"ahq e-Sports Club",840606.45,33
"21",916,"JD Gaming",836118.08,10
"22",344,"OMG",722072.89,28
"23",342,"Star Horn Royal Club",707196.07,25
"24",795,"DragonX",694398.74,14
"25",305,"NaJin e-mFire",616799.21,35
"26",287,"H2K",597032.96,20
"27",227,"LGD Gaming",512324.15,22
"28",468,"Afreeca Freecs",494452.56,14
"29",192,"Gambit Esports",493101.79,30
"30",24667,"Suning",466293.44,2
"31",529,"Misfits",433084.72,21
"32",112,"SK Gaming",421665.24,85
"33",313,"Origen",420582.91,15
"34",141,"CJ Entus",419505.27,31
"35",183,"AZUBU",399501.38,8
"36",265,"Unicorns of Love",385930.36,47
"37",362,"DetonatioN",375020.25,14
"38",814,"Gen.G",370848.41,10
"39",485,"Longzhu Gaming",347907.81,7
"40",821,"Griffin",340668.2,12
"41",713,"Marines Esports",340105.46,13
"42",204,"Moscow Five",338435.21,33
"43",516,"I May",335703.2,5
"44",382,"Splyce",311433.5,11
"45",318,"Snake Esports",306151.92,15
"46",193,"Team LDLC.com",290534.04,41
"47",251,"Vitality",289676.3,19
"48",132,"MVP",278053.2,27
"49",111,"mousesports",267924.75,59
"50",117,"Team Dignitas",257562.2,46
"51",24777,"NASR eSports",252500,2
"52",103,"Millenium",248283.32,59
"53",169,"Vici Gaming",243382.89,11
"54",575,"Albus NoX Luna",238702.5,3
"55",787,"100 Thieves",237475,7
"56",413,"eSuba",237472.51,40
"57",440,"Illuminar Gaming",236628.3,32
"58",181,"Jin Air Green Wings",218553.88,32
"59",664,"FlyQuest",215250,7
"60",208,"KaBuM! e-Sports",211740.9,28
"61",442,"EURONICS Gaming",210216.22,48
"62",513,"Schalke 04 Esports",207984.52,17
"63",396,"paiN Gaming",207841.84,31
"64",531,"Saigon Jokers",201934.86,25
"65",236,"Team Curse",198907.95,62
"66",743,"Kaos Latin Gamers",198769.35,14
"67",544,"INTZ eSports",197810.93,24
"68",505,"J Team",197654.1,15
"69",719,"GamersOrigin",195460.56,32
"70",736,"Young Miracles",193302,5
"71",658,"BIG",192775.71,24
"72",414,"Dark Passage",186871.49,23
"73",744,"Hong Kong Attitude",184521.78,17
"74",745,"Lyon Gaming",184012.05,16
"75",24748,"MAD Lions",177719.21,9
"76",340,"Qiao Gu Reapers",171577.28,7
"77",797,"Rogue Warriors",156738.22,4
"78",416,"Positive Energy",154778.03,8
"79",131,"Incredible Miracle",154615.32,26
"80",341,"Team King",152173.93,9
"81",411,"Immortals",151837,5
"82",197,"Copenhagen Wolves",150220.76,29
"83",962,"SinoDragon",146609.8,5
"84",557,"Rogue",136453.23,10
"85",121,"Radical Online X-tremists",134286.3,26
"86",319,"Vega Squadron",132273.23,14
"87",268,"Keyd Stars",130240.11,31
"88",404,"Bangkok Titans",129837.01,22
"89",389,"Maximum Impact Gaming",129499.39,4
"90",793,"Bilibili Gaming",125362.2,4
"91",331,"Giants Gaming",122226.08,35
"92",682,"Kuala Lumpur Hunters",119837.07,26
"93",162,"Ninjas in Pyjamas",119575.32,24
"94",261,"Alliance",115000,5
"95",210,"Newbee",112151.4,4
"96",119,"Meet Your Makers",110739.31,65
"97",443,"ESC Ever",110031.24,7
"98",24780,"EVOS",109233.82,5
"99",373,"LMQ",109112.01,8
"100",398,"CNB e-Sports Club",107540.5,26
"101",925,"Singapore Sentinels",102112.19,18
"102",716,"Isurus Gaming",100966.02,8
"103",24953,"Divine Vendetta",1e+05,1
"104",482,"Team Kongdoo",96201.9,8
"105",127,"Gama Bears",93531,3
"106",674,"The Chiefs eSports Club",92596.43,12
"107",503,"Hard Random",85851.35,13
"108",380,"Lemondogs",85811.34,4
"109",185,"Virtus.pro",84951.2,12
"110",740,"AGO Esports",81237.58,7
"111",427,"Mineski",80627.22,17
"112",405,"Legacy eSports",79387.58,11
"113",475,"Xenics",78101.91,15
"114",623,"Paris Saint-Germain Esports",77815.25,3
"115",24933,"ad hoc gaming",75682.31,18
"116",198,"against All authority",75359.65,43
"117",661,"M19",73104.59,9
"118",786,"Clutch Gaming",72812.5,3
"119",543,"RED Canids",71593.59,11
"120",643,"1907 Fenerbahçe Esports",71162.84,3
"121",462,"exceL eSports",70934.57,24
"122",24874,"MEGA Esports",69570.47,7
"123",24793,"Team One",68768.19,7
"124",101,"Evil Geniuses",66900,6
"125",24948,"Team Flash",64289.52,2
"126",24704,"SANDBOX Gaming",63807.9,5
"127",335,"Enemy",63250,10
"128",339,"Hong Kong Esports",62332.6,9
"129",421,"Reason Gaming",61140.99,31
"130",764,"Pompa Team",60904.62,22
"131",172,"Denial Esports",60228.01,21
"132",393,"Team Vulcun",60000,3
"133",473,"Team Coast",59950,10
"134",334,"Team Dragon Knights",58000,7
"135",957,"Polar Ace",57000,4
"136",24785,"Infinity Esports",56301.69,3
"137",113,"ALTERNATE aTTaX",56279.64,24
"138",951,"Team GamerLegion",55993.04,8
"139",354,"GamingGear.eu",54909.4,8
"140",435,"Young Glory",52965.57,6
"141",452,"Avant Gaming",52056.66,7
"142",24950,"Osh-Tekk Warriors",51500,2
"143",338,"Renegades",50528.61,6
"144",520,"Phoenix1",50000,2
"145",819,"Hanwha Life Esports",49868.6,6
"146",104,"compLexity Gaming",49100,10
"147",820,"Winners",48383.57,6
"148",831,"Rift Esports",48079.11,3
"149",451,"Echo Fox",48000,5
"150",126,"TyLoo",47100,1
"151",444,"Unlimited Potential",45312.6,3
"152",24963,"DefuseKids",43863.83,14
"153",718,"Mysterious Monkeys",43725.44,12
"154",333,"Team Impulse",43000,5
"155",665,"bbq Olivers",42359.3,6
"156",609,"Chinese National Team",41979.68,3
"157",220,"Team Roccat",40741,4
"158",508,"LowLandLions",37878.95,24
"159",24877,"MnM Gaming",37863.71,18
"160",225,"EHOME",37178.8,5
"161",24906,"k1ck eSports Club",36573.9,2
"162",109,"Team Acer",36419,11
"163",195,"Epsilon eSports",36241.75,9
"164",586,"French National Team",35000,1
"165",799,"Wind and Rain",34268.33,8
"166",320,"SBENU",32514.95,4
"167",852,"Team Atlantis",31838.08,5
"168",233,"TCM Gaming",31778.14,6
"169",441,"Huma",31178.54,4
"170",412,"Team LoLPro",30750,10
"171",159,"Absolute Legends",30250.5,20
"172",248,"Team Infused",30044.6,16
"173",510,"Epik Gamer",29750,6
"174",583,"Korean National Team",29045.2,4
"175",426,"OverGaming",28167.11,13
"176",163,"Natus Vincere",27982.97,7
"177",834,"Gentside Esports Club",27863.37,9
"178",24830,"CrowCrowd",27544.82,3
"179",519,"Apex Gaming",27500,2
"180",707,"Movistar Riders",26977.02,6
"181",671,"Tricked eSports",25812.48,26
"182",474,"Good Game University",25700,2
"183",277,"n!faculty",24983.15,9
"184",345,"Masters 3",24718,2
"185",25010,"Echo Zulu",23885.7,13
"186",439,"FM eSports",23731.54,11
"187",789,"KSV eSports",23270,2
"188",316,"Beşiktaş e-Sports Club",23127.81,7
"189",431,"Team Fusion",23000,3
"190",833,"Solary",22660.24,15
"191",352,"Anexis eSports",22435.24,8
"192",450,"Inspire Esports",22297.9,4
