"TournamentId","GameId","TournamentName","StartDate","EndDate","Location","Teamplay","TotalUSDPrize"
44493,569,"CUPRA E-Racing Competition 2020","2020-10-09","2020-12-07","Online",0,12100
44456,447,"1V1 Sub Tournament by chefssef","2020-12-06","2020-12-06","North America",0,100
44486,406,"ATL SEASON THREE FINAL","2020-12-06","2020-12-06","Seoul, South Korea",0,17535.2
44489,628,"CTWC 2020","2020-10-31","2020-12-06","Online",0,10000
44452,245,"DreamHack Masters Winter 2020: Asia","2020-12-01","2020-12-06","Online",1,15000
44454,245,"DreamHack Masters Winter 2020: Europe","2020-11-30","2020-12-06","Online",1,150000
44459,245,"DreamHack Masters Winter 2020: North America","2020-11-30","2020-12-06","Online",1,70000
44451,245,"DreamHack Masters Winter 2020: Oceania","2020-12-01","2020-12-06","Online",1,15000
44468,245,"ESEA Cash Cup - Europe: Winter 2020 #1","2020-12-05","2020-12-06","Online",1,4000
44469,245,"ESEA Cash Cup - North America: Winter 2020 #1","2020-12-05","2020-12-06","Online",1,4000
44455,245,"Flashpoint Season 2","2020-11-10","2020-12-06","Online",1,1e+06
44453,245,"Fragleague Season 5: CS:GO Playoffs","2020-11-08","2020-12-06","Online",1,20665.75
44470,245,"Gamers Club Liga Profissional: December 2020","2020-11-30","2020-12-06","Online",1,1133.91
44462,487,"GWENT World Masters S2","2020-12-05","2020-12-06","Online",0,88720
44465,179,"KrisB_AoE 4v4 Men vs Women Showmatch","2020-12-06","2020-12-06","Online",1,121
44487,655,"Moselle Gaming Online 2","2020-12-06","2020-12-06","Online",0,23.64
44467,245,"NumberOne: Legend Stage 4","2020-11-10","2020-12-06","Online",1,6070.46
44466,245,"Polska Liga Esportowa S8 Grupa Mistrzowska (CS:GO)","2020-10-14","2020-12-06","Online",1,27151.51
44457,447,"PWC BR 2020","2020-12-06","2020-12-06","Brasil",1,33333
44478,231,"Realms Collide: The Burning Darkness","2020-11-12","2020-12-06","Online",1,75000
44449,245,"Rive: Winter Rush","2020-11-30","2020-12-06","Online",1,15000
44491,558,"Smash Bowl MMXXI - Stage 1 Group A6","2020-12-06","2020-12-06","Online",0,3500
44458,393,"Test Tournament Series: December (NA)","2020-12-05","2020-12-06","North America",0,5000
44492,526,"BMW SIM Live 2020","2020-12-05","2020-12-05","Online",0,4235
44439,661,"CommunityGaming.io $500 Draft Tournament","2020-12-05","2020-12-05","Online",0,500
44446,245,"Cyber.Bet Golden League 2020 - Playoffs","2020-11-25","2020-12-05","Online",1,20000
44442,179,"DauT vs Modri Bo5 Arena Showmatch","2020-12-05","2020-12-05","Online",0,120
44450,245,"One Tap League Season 1: Stop #7","2020-12-04","2020-12-05","Online",1,6061
44437,447,"Paladins World Championship EU 2020","2020-12-05","2020-12-05","Europe",1,33333
44447,245,"Svenska Elitserien Fall 2020 - Playoffs","2020-12-01","2020-12-05","Online",1,27197.5
44448,245,"Telialigaen - Fall 2020 Playoffs (CS:GO)","2020-12-05","2020-12-05","Oslo, Norway",1,19310.3
44443,245,"King of Nordic - Season 17: Week #6","2020-12-04","2020-12-04","Online",1,605.99
44432,447,"Paladins World Championship NA 2020","2020-12-04","2020-12-04","North America",1,33333
44441,179,"Battle Royale Event #1","2020-12-03","2020-12-03","Online",0,50
44418,393,"Dash Bracket #4","2020-12-03","2020-12-03","North America",0,152.5
44445,245,"ESEA EU CS:GO Advanced Season 35 - Playoffs","2020-11-04","2020-12-03","Online",1,15000
