23.11.2020;Pre seed;Social & Communication, Streaming;;StreamHERO;$550K
20.11.2020;Venture;Esports;;BLAST entertainment;$2.20M
17.11.2020;Seed;Agency;;Queens Gaming Collective;$1.50M
16.11.2020;Seed;Mobile, Publishers & Developers;;Lila Games;$2.80M
13.11.2020;Series b;Analytics, Esports, Gamestech;;Statespace;$29.0M
11.11.2020;Venture;Esports;;Fnatic;$10.0M
10.11.2020;Venture;Esports, Gamestech, Social & Communication;;Griffin Gaming Partners;$235M
09.11.2020;Venture;Esports;;Immortals Gaming Club;$26.0M
06.11.2020;Corporate;Analytics, Esports;;EDGE ESPORTS;$1.50M
04.11.2020;Venture;Mobile, Gamestech;;Aptoide;$1.50M
04.11.2020;Venture;Streaming;;Streamloots;$7.20M
04.11.2020;Corporate;Mobile, Publishers & Developers;;Lockwood Publishing;$25.0M
02.11.2020;Pre seed;Publishers & Developers;;Sugar;$2.00M
29.10.2020;Acquisition;Publishers & Developers;;Everguild;$1.37M
28.10.2020;Seed;Streaming, Social & Communication;;Shotcall;$2.20M
28.10.2020;Series e;Publishers & Developers;;Scopely;$340M
26.10.2020;Series b;Esports;;VSPN;$100M
20.10.2020;Seed;Publishers & Developers;;Frost Giant Studios;$4.70M
20.10.2020;Series a;Esports, Streaming;;Gaming 247 (VENN);$26.0M
16.10.2020;Series b;Esports;;EVOS Esports;$12.0M
15.10.2020;Series a;Esports;;Tiltify;$6.50M
14.10.2020;Corporate;Esports;;Esports Mogul;$5.75M
12.10.2020;Seed;Esports;;Talon Esports;$2.00M
07.10.2020;Corporate;Esports;;G-Loot;$56.0M
07.10.2020;Acquisition;Publishers & Developers;;East Side Games;$113M
29.09.2020;Series a;Esports, Analytics;;Pandascore;$6.00M
29.09.2020;Ipo;Esports;;Guild Esports;$27.5M
28.09.2020;Ipo;Hardware, Peripherals;;Corsair Components;$119M
24.09.2020;Corporate;Publishers & Developers;;Manticore Games;$15.0M
22.09.2020;Series c;Mobile, Esports;;Mobile Premier League;$90.0M
21.09.2020;Pre series_a;Esports;;AFK Gaming;$200K
18.09.2020;Ipo;Gamestech;;Unity Software;$1.30B
17.09.2020;Corporate;Esports;;Wisdom Gaming Group;$3.00M
17.09.2020;Corporate;Analytics, Esports;;Bayes Esports Solutions;$6.00M
14.09.2020;Seed;Esports;;Anubis Gaming;$300K
04.09.2020;Venture;Esports;;GamerzClass;$1.00M
02.09.2020;Venture;Esports, Analytics;;EsportsLAB;$1.08M
01.09.2020;Corporate;Esports;;Flamengo eSports;$523K
28.08.2020;Acquisition;Publishers & Developers, Mobile;;Sventertainment;$2.30M
28.08.2020;Series a;Streaming;;Restream;$50.0M
27.08.2020;Acquisition;Agency;;Maverick Media Limited;$47.7M
27.08.2020;Investment fund;Esports;;BITKRAFT Esports Ventures;$165M
26.08.2020;Pre seed;Publishers & Developers, Mobile;;Colossi Games;$650K
26.08.2020;Series a;Publishers & Developers, Gamestech;;Gamezop;$4.30M
26.08.2020;Venture;Esports;;Challengermode;$12.0M
20.08.2020;Seed;Analytics;;Lootcakes;$2.00M
20.08.2020;Seed;Publishers & Developers;;Hiber;$2.25M
20.08.2020;Investment fund;Publishers & Developers;;March Capital Partners;$60.0M
18.08.2020;Acquisition;Mobile, Publishers & Developers;;Playdots;$192M
14.08.2020;Series b;Mobile, Publishers & Developers;;Wildlife Studios;$120M
13.08.2020;Acquisition;PC, Console, Cloud, Publishers & Developers;;Rare Earth Games;$355K
13.08.2020;Acquisition;Publishers & Developers;;Vermila Studios;$1.06M
13.08.2020;Acquisition;Publishers & Developers, PC, Console;;Palindrome Interactive;$2.45M
13.08.2020;Acquisition;Social & Communication;;Sola Media;$2.70M
13.08.2020;Investment fund;Publishers & Developers;;1Up Ventures;$10.0M
13.08.2020;Acquisition;Mobile, Publishers & Developers;;DECA Games;$30.0M
13.08.2020;Acquisition;Publishers & Developers, PC, Console;;4A Games;$36.0M
07.08.2020;Acquisition;Agency;;Omnia Media;$34.1M
06.08.2020;Corporate;Console, Gamestech, Publishers & Developers, Mobile, PC;;Epic Games;$1.78B
05.08.2020;Seed;Publishers & Developers, Mobile;;Big Run Studios;$5.25M
05.08.2020;Acquisition;Publishers & Developers, Mobile;;Rollic Games;$168M
29.07.2020;Seed;AR/VR;;Trinity College Dublin;$1.80M
29.07.2020;Series b;AR/VR, Publishers & Developers;;Polyarc Games;$9.00M
22.07.2020;Series a;Analytics;;Mobalytics;$11.3M
21.07.2020;Seed;Esports;;Mission Control GG;$1.75M
16.07.2020;Seed;Publishers & Developers;;Sorare;$4.00M
16.07.2020;Seed;Mobile, Publishers & Developers;;Carbonated Games;$8.50M
16.07.2020;Series a;Esports;;DRX;$10.0M
13.07.2020;Seed;Publishers & Developers, PC;;Darewise Entertainment;$3.00M
09.07.2020;Series a;Esports;;MCES;$2.80M
09.07.2020;Seed;Agency, Esports;;Athlane;$3.30M
09.07.2020;Venture;Publishers & Developers, Mobile;;Traplight;$9.00M
09.07.2020;Venture;Publishers & Developers, Esports;;JetSynthesys;$39.9M
06.07.2020;Series d;Streaming, Esports;;Caffeine;$113M
03.07.2020;Venture;Mobile, Publishers & Developers;;Animoca Brands;$4.10M
02.07.2020;Seed;Publishers & Developers;;CrazyHub;$500K
02.07.2020;Venture;Publishers & Developers;;ControlZee;$3.00M
02.07.2020;Acquisition;Publishers & Developers;;GAMEE;$4.71M
02.07.2020;Series a;Publishers & Developers;;One More Game;$5.70M
01.07.2020;Convertible loan;Esports;;Nerd Street Gamers;$5.40M
01.07.2020;Series a;AR/VR;;Voicemod;$8.00M
01.07.2020;Corporate;Social & Communication;;Discord;$100M
30.06.2020;Venture;Cloud;;RemoteMyApp;$2.00M
30.06.2020;Series a;Esports;;PlayBrain;$6.00M
26.06.2020;Acquisition;Publishers & Developers;;Coconut Lizard;$2.50M
26.06.2020;Series a;Gamestech;;Admix;$7.00M
25.06.2020;Seed;Streaming;;Replai;$1.35M
25.06.2020;Acquisition;Publishers & Developers, PC;;Deck13 Interactive;$7.90M
24.06.2020;Seed;Publishers & Developers;;Treehouse Games;$2.60M
18.06.2020;Venture;Gamestech;;DMarket;$6.50M
15.06.2020;Seed;Publishers & Developers;;SockMonkey;$315K
15.06.2020;Corporate;Esports;;ONE Championship;$70.0M
11.06.2020;Venture;Betting;;Luckbox;$2.23M
11.06.2020;Series a;Cloud;;Playable Worlds;$10.0M
09.06.2020;Corporate;Esports, Streaming;;BoomTV;$10.0M
09.06.2020;Angel;Mobile, Publishers & Developers;;Whatifi;$10.0M
01.06.2020;Seed;Gamestech;;LootLocker;$250K
28.05.2020;Seed;Mobile;;Carry1st;$2.50M
28.05.2020;Seed;AR/VR;;Poplar;$2.60M
26.05.2020;Corporate;Publishers & Developers;;Marvelous;$66.3M
25.05.2020;Series a;Esports, Analytics;;Statespace;$15.0M
23.05.2020;Venture;Cloud;;Gamestream;$4.00M
21.05.2020;Corporate;Esports;;Vodafone Giants;$3.30M
14.05.2020;Seed;Esports, Analytics;;Leetify;$972K
14.05.2020;Corporate;Esports;;BLAST entertainment;$13.5M
13.05.2020;Venture;AR/VR;;Maze Theory;$1.80M
12.05.2020;Series a;Cloud;;Parsec;$7.00M
12.05.2020;Series b;Betting, Esports;;Blitz Studios;$20.0M
08.05.2020;Venture;Mobile, Publishers & Developers;;Rogue Games;$2.00M
07.05.2020;Venture;Betting, Analytics;;QL Gaming;$1.10M
05.05.2020;Venture;Mobile, Publishers & Developers;;Dazzle Rocks;$6.80M
04.05.2020;Venture;Analytics, Gamestech;;Sensor Tower;$45.0M
01.05.2020;Acquisition;PC, Console, Mobile;;Goodbye Kansas;$5.70M
01.05.2020;Corporate;Publishers & Developers, Mobile;;My.Games Hyper-casual fund;$10.0M
30.04.2020;Venture;Agency, Esports;;META;$1.09M
30.04.2020;Series a;Social & Communication;;Guilded;$7.00M
30.04.2020;Series b;AR/VR;;Mojo Vision;$51.0M
28.04.2020;Acquisition;Mobile, Publishers & Developers, PC;;Jagex;$530M
27.04.2020;Venture;Esports;;Raven;$1.40M
24.04.2020;Corporate;Publishers & Developers;;Adept Games;$5.50M
24.04.2020;Corporate;Publishers & Developers;;AuthorDigital;$5.50M
23.04.2020;Venture;Publishers & Developers, Mobile;;1939 Games;$1.90M
23.04.2020;Venture;Publishers & Developers;;Reworks;$4.70M
23.04.2020;Venture;Social & Communication;;Opera Event;$5.00M
23.04.2020;Acquisition;Publishers & Developers, Mobile;;Candywriter;$74.0M
22.04.2020;Corporate;Gamestech;;Reliance Jio;$5.70B
20.04.2020;Seed;Cloud, AR/VR;;Arti;$4.00M
17.04.2020;Series a;Esports, Streaming;;FaZe Clan;$40.0M
16.04.2020;Venture;Mobile, Publishers & Developers;;Superplus Games;$4.70M
15.04.2020;Convertible loan;Publishers & Developers, Mobile;;Nitro Games;$2.00M
15.04.2020;Venture;Mobile, Publishers & Developers;;Nitro Games;$2.50M
15.04.2020;Series a;Publishers & Developers, Mobile;;Nifty Games;$12.0M
14.04.2020;Venture;Publishers & Developers;;Breaking Walls;$1.75M
14.04.2020;Venture;Social & Communication;;Unrd;$2.50M
09.04.2020;Venture;Streaming, Esports;;BiliBili;$400M
08.04.2020;Seed;Publishers & Developers;;Vela Games;$3.10M
08.04.2020;Corporate;Gamestech;;N3twork Scale Platform;$50.0M
08.04.2020;Post ipo_equity;Publishers & Developers;;Embracer Group;$164M
06.04.2020;Seed;Publishers & Developers;;StarBerry Games;$1.40M
03.04.2020;Venture;Esports, Streaming;;Huya;$263M
01.04.2020;Seed;Mobile, Publishers & Developers;;Lightheart Entertainment;$1.40M
01.04.2020;Corporate;Gamestech;;Subspace;$26.0M
31.03.2020;Series a;Streaming;;Phenix;$7.55M
30.03.2020;Venture;Analytics;;Anybrain;$1.00M
27.03.2020;Seed;Esports;;Rally Cry;$1.20M
26.03.2020;Seed;Esports, Mobile;;Tribe Gaming;$1.00M
24.03.2020;Seed;Publishers & Developers, Mobile;;Big Run Studios;$1.40M
23.03.2020;Acquisition;Publishers & Developers;;Mages;$15.0M
23.03.2020;Venture;Publishers & Developers;;Cloud Imperium Games;$17.3M
19.03.2020;Venture;Mobile, PC, Publishers & Developers;;The Sandbox;$2.01M
19.03.2020;Seed;Publishers & Developers, Mobile;;Robin Games;$7.00M
19.03.2020;Venture;Cloud, Publishers & Developers;;Mainframe Industries;$8.30M
