"","TeamId","TeamName","TotalUSDPrize","TotalTournaments"
"1",102,"Team Liquid",35732474.03,1844
"2",419,"OG",33943233.59,99
"3",101,"Evil Geniuses",24263698.79,854
"4",118,"Fnatic",15729227.88,929
"5",185,"Virtus.pro",14415574.39,510
"6",210,"Newbee",14225385.59,231
"7",169,"Vici Gaming",13084345.79,302
"8",211,"Team Secret",12076278.72,278
"9",124,"Invictus Gaming",11669190.1,503
"10",163,"Natus Vincere",11282585.4,490
"11",227,"LGD Gaming",10948410.59,145
"12",212,"Cloud9",9926035.95,760
"13",145,"SK Telecom T1",9776439.98,328
"14",507,"Wings Gaming",9745472.22,27
"15",623,"Paris Saint-Germain Esports",9480579.68,75
"16",240,"FaZe Clan",9192668.83,363
"17",466,"Astralis",8353918.81,92
"18",231,"OpTic Gaming",7903718.96,295
"19",256,"G2 Esports",7713993.02,427
"20",216,"Team Envy",6650419.22,356
"21",196,"Team SoloMid",6580521,618
"22",112,"SK Gaming",6510141.03,663
"23",132,"MVP",6227204.8,487
"24",261,"Alliance",5731542.15,326
"25",111,"mousesports",5360689.26,955
"26",144,"Samsung",5306802.8,353
"27",162,"Ninjas in Pyjamas",5140509.03,328
"28",207,"Counter Logic Gaming",5077193.95,445
"29",571,"Lazarus",5028856.38,259
"30",425,"NRG Esports",4921864.26,329
"31",343,"Royal Never Give Up",4900886.71,77
"32",383,"Chaos Esports Club",4865963,82
"33",814,"Gen.G",4694683.69,64
"34",561,"TnC Gaming",4447050.32,58
"35",104,"compLexity Gaming",4428813.23,595
"36",225,"EHOME",4045181.5,103
"37",117,"Team Dignitas",3995002.1,606
"38",300,"CDEC Gaming",3704903.32,52
"39",317,"Luminosity Gaming",3545357.6,267
"40",311,"EDward Gaming",3444210.99,107
"41",24687,"Sentinels",3433250.68,60
"42",663,"eUnited",3362363.69,192
"43",787,"100 Thieves",3312155.35,72
"44",24684,"Cooler Esport",3300164.26,28
"45",430,"eStar Gaming",3300157.32,54
"46",382,"Splyce",3299842.51,410
"47",251,"Vitality",3177144.81,223
"48",760,"San Francisco Shock",3105000,7
"49",192,"Gambit Esports",3037287.52,179
"50",115,"Team Empire",3022325,428
"51",177,"KT Rolster",2922370.01,219
"52",181,"Jin Air Green Wings",2761165.77,408
"53",123,"World Elite",2442343.31,210
"54",427,"Mineski",2434750.99,82
"55",184,"Flash Wolves",2386592.34,209
"56",830,"Ghost Gaming",2326479.7,173
"57",385,"ENCE eSports",2253556.63,208
"58",337,"Tempo Storm",2181650.14,412
"59",283,"COGnitive Gaming",2016138.32,164
"60",557,"Rogue",1883165.94,194
"61",221,"MIBR",1853403,98
"62",848,"Spacestation Gaming",1851020.64,155
"63",103,"Millenium",1822130.48,562
"64",676,"Dallas Empire",1797504.47,23
"65",344,"OMG",1784300.18,65
"66",195,"Epsilon eSports",1772279.91,242
"67",285,"Team DK",1769242.38,43
"68",451,"Echo Fox",1737629.59,337
"69",209,"HellRaisers",1644304.42,136
"70",126,"TyLoo",1605327.79,162
"71",776,"London Spitfire",1591136.5,13
"72",768,"New York Excelsior",1572618.5,18
"73",213,"Taipei Assassins",1529565.39,24
"74",403,"ahq e-Sports Club",1517072.64,87
"75",141,"CJ Entus",1502458.47,185
"76",934,"Team Reciprocity",1491429.86,82
"77",24706,"FunPlus Phoenix",1472633.6,22
"78",338,"Renegades",1465905.73,178
"79",850,"LeStream Esport",1431833.11,84
"80",826,"Rise Nation",1412612.5,80
"81",763,"Infamous",1344846.01,50
"82",802,"Top Esports",1336062.17,23
"83",267,"ROX Gaming",1328260.18,74
"84",657,"North",1312961.35,84
"85",131,"Incredible Miracle",1312868.72,166
"86",919,"Keen Gaming",1283305.59,43
"87",581,"Russian National Team",1260218.44,26
"88",172,"Denial Esports",1241411.24,178
"89",340,"Qiao Gu Reapers",1220408.2,17
"90",529,"Misfits",1208104.47,175
"91",468,"Afreeca Freecs",1206132.72,274
"92",205,"PENTA Sports",1195365.03,263
"93",24806,"Atlanta Faze",1187500,14
"94",773,"Philadelphia Fusion",1186278.5,15
"95",658,"BIG",1168137.52,155
"96",396,"paiN Gaming",1164349.32,117
"97",411,"Immortals",1131165.15,118
"98",766,"Seoul Dynasty",1130000,6
"99",322,"Team Kinguin",1119008.47,119
"100",136,"StarTale",1117702.92,159
"101",24680,"Hero JiuJ",1104361.96,5
"102",558,"Heroic",1091397.85,73
"103",548,"Method",1088178.04,111
"104",234,"Elevate",1081431.98,150
"105",719,"GamersOrigin",1041248.06,206
"106",24884,"9z Team",1022730.93,21
"107",113,"ALTERNATE aTTaX",1019549.85,401
"108",319,"Vega Squadron",1010673.01,159
"109",913,"Yoshimoto",1006400,3
"110",119,"Meet Your Makers",995405.04,267
"111",494,"Team Spirit",988222.11,123
"112",193,"Team LDLC.com",973971.85,186
"113",856,"Vancouver Titans",950000,4
"114",215,"FlipSid3 Tactics",939555.31,324
"115",655,"Black Dragons e-Sports",934281.95,48
"116",740,"AGO Esports",919213.89,108
"117",963,"FURIA Esports",909945.26,62
"118",833,"Solary",901293.3,150
"119",795,"DragonX",899289.63,25
"120",24703,"DAMWON Gaming",882163.46,12
"121",916,"JD Gaming",871389.2,15
"122",194,"Titan eSports",860876.11,75
"123",805,"AVANGAR",858469.01,69
"124",621,"Ballistix",855000,10
"125",241,"Team KaLiBeR",821775.52,49
"126",365,"Str8 Rippin",821040.45,88
"127",114,"mTw",811779.48,277
"128",530,"Team Allegiance",798580.7,64
"129",24748,"MAD Lions",792306.43,21
"130",546,"Team expert",787335.85,274
"131",420,"Space Soldiers",782943.06,78
"132",24786,"Chicago Huntsmen",782750,11
"133",843,"Four Angry Men",767227.23,24
"134",933,"Windigo Gaming",764124.2,104
"135",342,"Star Horn Royal Club",759830.17,29
"136",24841,"Buriram United Esports",757062.88,16
"137",769,"Shanghai Dragons",755000,5
"138",801,"OGN Entus",745073.68,29
"139",505,"J Team",722000.01,42
"140",24690,"Kungarna",716315.89,19
"141",287,"H2K",713712.74,43
"142",24898,"Valhalla Vikings",712144.55,6
"143",153,"ROOT Gaming",710867.69,639
"144",774,"Los Angeles Gladiators",709605.19,13
"145",671,"Tricked eSports",702980.84,110
"146",372,"Panda Global",695411.89,489
"147",109,"Team Acer",689747.97,571
"148",242,"Final Boss",667891,43
"149",168,"mYinsanity",662852.16,470
"150",142,"Hwaseung OZ",662772.23,44
"151",846,"Nova eSports",657284.58,33
"152",301,"TongFu",648617.82,43
"153",134,"Prime",635241.44,195
"154",318,"Snake Esports",632602.77,39
"155",442,"EURONICS Gaming",625290.14,286
"156",366,"Birmingham Salvo",623465.73,12
"157",852,"Team Atlantis",618267.52,49
"158",305,"NaJin e-mFire",616799.21,35
"159",24667,"Suning",602343.44,10
"160",954,"forZe",599818.55,89
"161",861,"Atlanta Reign",596098,9
"162",501,"GODSENT",586123.64,87
"163",829,"Winstrike Team",585542.66,44
"164",447,"STX SouL",582668.98,78
"165",24797,"TOX Gaming",569000,11
"166",674,"The Chiefs eSports Club",565204.44,111
"167",183,"AZUBU",551164.03,46
"168",518,"Ad Finem",544089.37,13
"169",525,"Tempest",544085,14
"170",158,"4Kings",544046.42,114
"171",362,"DetonatioN",539438.06,68
"172",770,"Los Angeles Valiant",535000,6
"173",583,"Korean National Team",532247.1,27
"174",309,"Mindfreak",525282.89,86
"175",923,"Eleven Gaming",522100,31
"176",708,"Team Singularity",518064.56,139
"177",24833,"London Royal Ravens",517650,10
"178",849,"Nordavind",515431.65,77
"179",24781,"Rex Regum Qeon",510845.74,31
"180",364,"Carbon",505208.84,153
"181",572,"Gale Force eSports",504565.14,74
"182",201,"Team 3D",503225,72
"183",374,"Chicago Chimera",497750,7
"184",840,"Team Serenity",491431.75,9
"185",577,"Ting",491240.26,146
"186",544,"INTZ eSports",488924.09,106
"187",24734,"Nigma",475124,12
"188",440,"Illuminar Gaming",471602.53,65
"189",204,"Moscow Five",469104.79,71
"190",248,"Team Infused",467091.66,109
"191",335,"Enemy",462681.45,66
"192",229,"wisdom Nerve victory",462297.48,67
"193",536,"Obey Alliance",460283.28,31
"194",133,"Old Generations",456814.74,77
"195",24773,"HAVU Gaming",452820.01,52
"196",744,"Hong Kong Attitude",452296.84,45
"197",147,"Woongjin Stars",450596.55,47
"198",331,"Giants Gaming",448669.85,95
"199",286,"Orange Esports",446394.67,40
"200",296,"Clan Kapitol",446089.23,37
"201",265,"Unicorns of Love",441289.48,65
"202",237,"Fariko",435621.58,8
"203",825,"Pittsburgh Knights",432963.23,53
"204",720,"Planet Odd",428371.14,16
"205",24708,"Talon Esports",426548.29,19
"206",821,"Griffin",426342.26,18
"207",732,"RunAway",425848.84,20
"208",860,"Hangzhou Spark",425000,3
"209",931,"Triumphant Song Gaming",422644.37,113
"210",313,"Origen",420582.91,15
"211",395,"PSISTORM Gaming",419983.17,491
"212",198,"against All authority",417963.95,195
"213",789,"KSV eSports",408998.2,14
"214",107,"FXOpen e-Sports",406442.24,144
"215",137,"Team SCV Life",402513.32,187
"216",832,"Team Queso",402405.6,29
"217",847,"UYU",397342.51,101
"218",765,"GC Busan",394681.71,18
"219",135,"SlayerS",383967.89,96
"220",827,"Red Reserve",383100,34
"221",948,"Red Bull eSports",382547.68,15
"222",139,"WeMade FOX",379900.51,87
"223",413,"eSuba",376982.7,167
"224",609,"Chinese National Team",376925.36,25
"225",613,"Lunatic-hai",376129.41,21
"226",482,"Team Kongdoo",374172.35,34
"227",24957,"Toronto Ultra",370000,4
"228",921,"Actoz Stars",366375.5,9
"229",688,"Florida Mutineers",366000,7
"230",25049,"OpTic Gaming Los Angeles",360000,5
"231",24780,"EVOS",356412.94,36
"232",485,"Longzhu Gaming",355907.81,8
"233",121,"Radical Online X-tremists",352203.38,180
"234",462,"exceL eSports",352032.72,72
"235",713,"Marines Esports",351535.06,15
"236",349,"Team Celestial",350689.91,29
"237",24742,"Dragon Phoenix Gaming",350449.13,96
"238",304,"Team Archon",347056.08,63
"239",920,"CR4ZY",340073.19,51
"240",967,"Enigma6 Group",339375,18
"241",220,"Team Roccat",337909.58,99
"242",516,"I May",335703.2,5
"243",817,"FlyToMoon",335161,15
"244",306,"Nihilum Gaming",333932.42,39
"245",695,"Vietnamese National Team",332500,8
"246",928,"Werder Bremen eSports",330838.8,12
"247",24835,"BOOM Esports",329762.41,35
"248",481,"Supremacy",325335.57,86
"249",797,"Rogue Warriors",323524.4,9
"250",236,"Team Curse",322901.58,140
"251",823,"Welcome to South Georgo",322800,9
"252",698,"Team One More",321122.23,9
"253",421,"Reason Gaming",318181.8,135
"254",586,"French National Team",316879.45,32
"255",790,"Sprout",309017.4,37
"256",218,"Team VeryGames",308996.24,84
"257",24828,"Infantry Clan",305077.96,12
"258",918,"Execration",303807.43,22
"259",24946,"Bazaar Gaming",300325.26,7
"260",637,"Taiwanese National Team",299325,15
"261",909,"Team Aster",298218.19,28
"262",781,"Team QLASH",295447.42,112
"263",24777,"NASR eSports",293271.03,14
"264",24787,"Endpoint",289149.04,43
"265",771,"Boston Uprising",288606,7
"266",479,"Team Eager",288250,15
"267",539,"The Imperial",287505.3,50
"268",24782,"BDS Esport",287192.41,17
"269",24746,"Geek Fam",285544.33,22
"270",226,"Rave",285198.43,17
"271",323,"x6tence",282757.78,86
"272",24803,"Team Unique",281781.25,33
"273",24705,"Team Faceless",281033,10
"274",24743,"Bigetron eSports",280794.58,7
"275",24945,"King of Gamers Club",279420.93,7
"276",610,"American National Team",279399.95,20
"277",664,"FlyQuest",278786.25,23
"278",638,"Thai National Team",273900,10
"279",24668,"World Best Gaming",269935.69,9
"280",120,"ESC Gaming",269572.65,292
"281",513,"Schalke 04 Esports",266699.22,29
"282",824,"The Gosu Crew",263015.65,37
"283",545,"L5",259630,7
"284",910,"J.Storm",258600,12
"285",24783,"Wildcard Gaming",258204.75,20
"286",253,"SG e-sports",257951.55,16
"287",230,"Pentagram G-Shock",257376.53,18
"288",143,"MBCGame HERO",257121.26,44
"289",24707,"DarkZero Esports",256750,9
"290",200,"Team NoA",256297.62,25
"291",24958,"New York Subliners",255600,7
"292",735,"Myztro Gaming",253503.2,85
"293",347,"CM Storm",253404.17,74
"294",660,"Bravado Gaming",252172.1,50
"295",709,"Pantech",251990.64,23
"296",646,"Escape Gaming",251687.9,11
"297",24819,"VC Gaming",251280.6,3
"298",863,"Washington Justice",250000,1
"299",656,"Tainted Minds",245856.29,74
"300",24918,"Shoot To Kill",245578.75,21
"301",197,"Copenhagen Wolves",244670.54,85
"302",24900,"Become Legends",242330,24
"303",930,"Chivo SC",239973.64,65
"304",716,"Isurus Gaming",239075.41,52
"305",575,"Albus NoX Luna",238702.5,3
"306",818,"Hanbit Stars",237891.93,34
"307",579,"German National Team",237642.92,41
"308",24774,"Riot Squad Esports",235900,12
"309",405,"Legacy eSports",233304.16,92
"310",268,"Keyd Stars",229889.54,76
"311",233,"TCM Gaming",229316.24,106
"312",543,"RED Canids",228513.1,47
"313",951,"Team GamerLegion",226013.76,28
"314",712,"Team NP",224679,9
"315",808,"Team Gigantti",224542.69,13
"316",214,"Clan 519",223840,36
"317",499,"Team Naventic",221569,11
"318",24950,"Osh-Tekk Warriors",219867,6
"319",208,"KaBuM! e-Sports",218990.53,32
"320",224,"Big God",218550.13,2
"321",775,"Florida Mayhem",212672.5,8
"322",24839,"Thailand National Player",209815.58,4
"323",367,"Carolina Core",209000,9
"324",652,"Greatest Ones",208896.98,30
"325",584,"Swedish National Team",208723.01,31
"326",834,"Gentside Esports Club",208138.92,18
"327",793,"Bilibili Gaming",202383.4,10
"328",531,"Saigon Jokers",201934.86,25
"329",24818,"DeToNator",201315.97,29
"330",730,"Mock-It eSports",201072.83,101
"331",743,"Kaos Latin Gamers",198769.35,14
"332",24812,"Made in Thailand",197493.65,49
"333",408,"X-Team",195470.53,89
"334",707,"Movistar Riders",195374.61,57
"335",24784,"Susquehanna Soniqs",194486.11,17
"336",281,"Bad Monkey Gaming",194102.35,23
"337",24881,"Crazy Raccoon",193521,15
"338",736,"Young Miracles",193302,5
"339",748,"beastcoast",192432.79,59
"340",414,"Dark Passage",191821.49,29
"341",675,"Team RivaL",190805.2,13
"342",453,"Paradigm",190000,4
"343",24733,"Illuminate",189699.05,12
"344",582,"Ukranian National Team",188738.18,17
"345",589,"Canadian National Team",188625,18
"346",452,"Avant Gaming",186640.73,46
"347",862,"We Dem Girlz",184834.71,38
"348",24793,"Team One",184251.31,32
"349",745,"Lyon Gaming",184012.05,16
"350",106,"Quantic Gaming",183554.62,105
"351",780,"Minnesota RØKKR",183500,6
"352",297,"Empire Arcadia",183244.66,485
"353",521,"Selfless Gaming",181464.8,93
"354",24874,"MEGA Esports",178132.37,14
"355",777,"Luminous Stars",177829.84,10
"356",661,"M19",176847.4,19
"357",164,"Axiom eSports",176342.72,109
"358",24832,"ORDER",175455.44,23
"359",24722,"CYCLOPS athlete gaming",174015.81,21
"360",912,"VRS Coanda Simsport",171340.69,12
"361",966,"Team Heretics",170702.6,24
"362",24971,"MCES",169970,5
"363",275,"Prophecy",169940.32,28
"364",24672,"Vikin.gg",169906.93,23
"365",922,"Tigers",169171.28,5
"366",149,"Serious Gaming",167729.16,99
"367",24813,"Armory Gaming",166106.61,19
"368",677,"Astral Authority",164000,9
"369",398,"CNB e-Sports Club",163105.89,55
"370",24879,"TrainHard eSport",162646.6,20
"371",127,"Gama Bears",162263.28,26
"372",228,"HyperGloryTeam",160922.77,9
"373",700,"Greek National Team",159600,4
"374",653,"Arma Team",158510,104
"375",24715,"Team Adroit",156240.3,18
"376",266,"Planetkey Dynamics",155606.2,135
"377",416,"Positive Energy",154778.03,8
"378",949,"Williams Esports",153859.84,19
"379",24704,"SANDBOX Gaming",153807.9,6
"380",678,"Scythe Gaming",153705.22,6
"381",958,"FC Barcelona",152734.86,15
"382",24716,"Paris Legion",152500,5
"383",341,"Team King",152173.93,9
"384",24776,"Raise Your Edge Gaming",151147.41,97
"385",24902,"Executors One",150000,2
"386",588,"Finnish National Team",149868.78,20
"387",762,"Miraculous Youngster",148594.21,7
"388",24709,"KaiZi Gaming",148585.32,91
"389",223,"team9",148390.78,15
"390",962,"SinoDragon",146609.8,5
"391",262,"Vox Eminor",144519.35,39
"392",165,"eSTRO",144168.13,34
"393",24775,"Copenhagen Flames",143789.39,32
"394",24682,"Veloce Esports",143718.18,14
"395",739,"PRIDE Gaming",143425.02,84
"396",389,"Maximum Impact Gaming",143000.29,7
"397",246,"Team Orbit",141611.99,42
"398",263,"Frag eXecutors",141281.27,21
"399",926,"Mkers",140602.5,65
"400",955,"Quincy Crew",140422,10
"401",941,"FAV gaming",140099.94,6
"402",302,"London Conspiracy",139286.29,41
"403",715,"froyotech",138797.99,42
"404",764,"Pompa Team",138754.94,55
"405",24851,"Libalent",137762,4
"406",734,"Blank Esports",137105.66,8
"407",174,"Western Wolves",136088.53,57
"408",312,"Dead Pixels",134260.26,255
"409",24844,"SJ Gaming",133566.54,31
"410",483,"Team No Limit",132718.55,9
"411",24899,"Helsinki REDS",131042.37,8
"412",783,"Team Aretuza",130156.66,13
"413",404,"Bangkok Titans",129837.01,22
"414",24829,"Athletico",129815.28,26
"415",742,"Fade 2 Karma",128987.34,55
"416",277,"n!faculty",127207.69,45
"417",767,"Houston Outlaws",126172,4
"418",841,"Team Gamer Sensei",125255.28,9
"419",314,"Karont3 e-Sports Club",124836.17,44
"420",257,"Team Tinker",124439.09,15
"421",316,"Beşiktaş e-Sports Club",122459.89,23
"422",380,"Lemondogs",122243.96,16
"423",24864,"QConfirm",122099.88,7
"424",937,"PONOS Sports",121666.67,7
"425",357,"San Francisco Optx",121500,6
"426",409,"True eSport",120324.44,192
"427",682,"Kuala Lumpur Hunters",119837.07,26
"428",486,"Zenith of Origin",119710.33,80
"429",24814,"Purple Mood E-Sport",117777.98,17
"430",587,"Polish National Team",117487.56,20
"431",24878,"Team MCES",117150,22
"432",264,"Lions",116405.03,28
"433",243,"Speed Gaming",116355.64,10
"434",180,"Cascade",116306.08,186
"435",24872,"SCARZ",116067.36,23
"436",219,"iBUYPOWER",115208.84,28
"437",222,"emuLate!",114555.08,17
"438",24788,"Lowkey Esports",112714.24,12
"439",203,"3DMAX",112024.44,51
"440",608,"British National Team",110840.6,14
"441",443,"ESC Ever",110031.24,7
"442",235,"Strictly Business",109630,13
"443",733,"Pirates of Space",109426.35,11
"444",373,"LMQ",109112.01,8
"445",24953,"Divine Vendetta",108706,5
"446",24825,"Divine Esports",107996.41,8
"447",125,"PanDarea",107615.42,21
"448",602,"Danish National Team",107060.17,18
"449",157,"Wayi Spider",106696.22,50
"450",642,"OnGameNet SPARKYZ",106588.09,21
"451",24907,"Nemiga Gaming",106573.56,35
"452",273,"The Titans",105411.19,12
"453",842,"4 Clovers & Lepricon",105298.45,8
"454",489,"The MongolZ",105097.59,22
"455",639,"Brazilian National Team",104950,9
"456",956,"Aftermath",103663.03,81
"457",512,"VfL Wolfsburg",102865.89,36
"458",839,"Forward Gaming",102510,11
"459",130,"New Star HoSeo",102207.62,49
"460",925,"Singapore Sentinels",102112.19,18
"461",580,"Norweigan National Team",101772.71,14
"462",24678,"Brave Star Gaming",101624.99,97
"463",299,"Power Rangers",101372.62,34
"464",24821,"Genesis",101258,4
"465",24790,"Absolute",100567.64,12
"466",599,"Spanish National Team",100390.71,17
"467",24744,"FDA Hublot Esports Team",1e+05,1
"468",315,"Invasion eSport",99897.23,125
"469",726,"OSC Elite",99817.22,147
"470",24822,"QM Gaming",98702.56,6
"471",687,"LuxuryWatch",98604.83,13
"472",24842,"Entity Gaming",98585.78,29
"473",24789,"Ground Zero Gaming",98585.56,17
"474",175,"apeX eSports",98456.11,12
"475",290,"Ocean Gaming",97841.4,51
"476",927,"PSV eSports",97739.65,13
"477",508,"LowLandLions",97699.74,67
"478",914,"Grayhound Gaming",97656.67,15
"479",650,"Circa eSports",97505.64,85
"480",666,"Burrito Esports",96739.21,24
"481",475,"Xenics",96343.91,16
"482",625,"Ajax Amsterdam eSports",96306.49,23
"483",138,"ZeNEX",95798.79,46
"484",24906,"k1ck eSports Club",94934.67,18
