"","id","GameName","TotalUSDPrize","TotalTournaments","TotalPlayers"
"1",711,"Call of Duty: Black Ops Cold War",243600,10,82
"2",655,"Trackmania (2020)",56043.72,41,79
"3",152,"StarCraft: Brood War",8376408.43,586,680
"4",151,"StarCraft II",34243237.96,5962,2084
"5",393,"Diabotical",85281.54,45,205
"6",179,"Age of Empires II",1572957.5,597,973
"7",507,"Clash of Clans",1272136.87,18,178
"8",534,"Fortnite",99349617.41,672,4453
"9",696,"Fall Guys",284273.83,5,240
"10",164,"League of Legends",81643219.72,2481,7152
"11",646,"VALORANT",1579398.6,269,1821
"12",245,"Counter-Strike: Global Offensive",103836476.59,5334,13168
"13",702,"Among Us",66000,6,10
"14",352,"CrossFire",6497845.02,308,629
"15",547,"Chess.com",937790.94,170,616
"16",231,"Dota 2",228227224.02,1461,3876
"17",555,"FIFA Online 4",729240,5,102
"18",709,"Kirby Fighters 2",222.86,1,4
"19",558,"Super Smash Bros. Ultimate",1337764.9,1209,1890
"20",569,"RaceRoom Racing Experience",144863.7,20,143
"21",469,"Rivals of Aether",38462.11,17,46
"22",204,"Super Smash Bros. Melee",3212402.51,2611,1881
"23",648,"Call of Duty: Warzone",2567488.97,99,579
"24",661,"Artifact 2.0",221.2,5,5
"25",409,"Rocket League",9172179.32,1090,1096
"26",710,"Smash Remix",299.06,1,4
"27",566,"Apex Legends",4528141.69,249,1166
"28",532,"iRacing.com",1450129.43,105,823
"29",348,"Live for Speed",11599.14,9,22
"30",699,"Dead By Daylight",60000,9,35
"31",650,"Lichess",1161196.92,85,275
"32",708,"Spellbreak",50000,1,42
"33",549,"Call of Duty: Black Ops 4",6731938.95,68,380
"34",560,"Lethal League Blaze",5343.92,11,25
"35",447,"Paladins",2174458.6,70,568
"36",654,"Tetr.io",2718.1,10,13
"37",553,"Assetto Corsa",338474.4,36,125
"38",638,"WarCraft III: Reforged",354595.29,65,80
"39",328,"Hearthstone",23651978.24,901,2431
"40",504,"PLAYERUNKNOWN’S BATTLEGROUNDS",24591303.57,301,2822
