"TeamId","TeamName","TotalUSDPrize","TotalTournaments"
102,"Team Liquid",35820379.03,1854
419,"OG",34194733.59,101
101,"Evil Geniuses",24269698.79,855
118,"Fnatic",15891208.88,939
185,"Virtus.pro",14964274.39,515
210,"Newbee",14225385.59,231
169,"Vici Gaming",13161309.51,305
211,"Team Secret",12078078.72,279
124,"Invictus Gaming",11704690.1,506
163,"Natus Vincere",11307177.4,491
227,"LGD Gaming",10948410.59,145
212,"Cloud9",9989260.95,766
145,"SK Telecom T1",9805293.78,333
507,"Wings Gaming",9745472.22,27
623,"Paris Saint-Germain Esports",9480579.68,75
240,"FaZe Clan",9228918.83,367
466,"Astralis",8418918.81,94
231,"OpTic Gaming",7903718.96,295
256,"G2 Esports",7759743.02,430
196,"Team SoloMid",6685921,624
216,"Team Envy",6665419.22,357
112,"SK Gaming",6515541.03,664
132,"MVP",6227204.8,487
261,"Alliance",5737542.15,327
111,"mousesports",5420189.26,959
144,"Samsung",5306802.8,353
162,"Ninjas in Pyjamas",5229259.03,334
207,"Counter Logic Gaming",5077193.95,445
571,"Lazarus",5031313.22,262
383,"Chaos Esports Club",4935963,84
425,"NRG Esports",4922364.26,330
343,"Royal Never Give Up",4900886.71,77
814,"Gen.G",4694683.69,64
104,"compLexity Gaming",4471813.23,600
561,"TnC Gaming",4447050.32,58
225,"EHOME",4045181.5,103
117,"Team Dignitas",4010002.1,607
300,"CDEC Gaming",3704903.32,52
317,"Luminosity Gaming",3548357.6,268
311,"EDward Gaming",3456403.73,108
24687,"Sentinels",3433250.68,60
663,"eUnited",3362363.69,192
787,"100 Thieves",3312155.35,72
24684,"Cooler Esport",3300164.26,28
430,"eStar Gaming",3300157.32,54
382,"Splyce",3299842.51,410
251,"Vitality",3237144.81,224
192,"Gambit Esports",3127287.52,182
760,"San Francisco Shock",3105000,7
115,"Team Empire",3084825,429
177,"KT Rolster",2922370.01,219
181,"Jin Air Green Wings",2764915.77,409
123,"World Elite",2442343.31,210
427,"Mineski",2434750.99,82
184,"Flash Wolves",2386592.34,209
830,"Ghost Gaming",2326479.7,173
385,"ENCE eSports",2258454.23,212
337,"Tempo Storm",2181650.14,412
283,"COGnitive Gaming",2016138.32,164
848,"Spacestation Gaming",1932400.64,166
221,"MIBR",1923403,101
557,"Rogue",1895665.94,195
103,"Millenium",1822130.48,562
676,"Dallas Empire",1797504.47,23
344,"OMG",1784300.18,65
195,"Epsilon eSports",1772279.91,242
285,"Team DK",1769242.38,43
451,"Echo Fox",1737629.59,337
209,"HellRaisers",1651504.42,138
126,"TyLoo",1611327.79,164
776,"London Spitfire",1591136.5,13
768,"New York Excelsior",1572618.5,18
213,"Taipei Assassins",1529565.39,24
403,"ahq e-Sports Club",1517072.64,87
141,"CJ Entus",1502458.47,185
934,"Team Reciprocity",1491429.86,82
338,"Renegades",1481905.73,180
24706,"FunPlus Phoenix",1478729.97,23
850,"LeStream Esport",1431833.11,84
826,"Rise Nation",1412612.5,80
763,"Infamous",1370946.01,54
113,"ALTERNATE aTTaX",1355613.15,406
802,"Top Esports",1336062.17,23
267,"ROX Gaming",1332698.26,75
657,"North",1316961.35,86
131,"Incredible Miracle",1312868.72,166
919,"Keen Gaming",1283305.59,43
581,"Russian National Team",1260218.44,26
172,"Denial Esports",1241411.24,178
658,"BIG",1232814.12,159
340,"Qiao Gu Reapers",1220408.2,17
468,"Afreeca Freecs",1209132.72,275
529,"Misfits",1208104.47,175
205,"PENTA Sports",1199115.03,264
24806,"Atlanta Faze",1187500,14
773,"Philadelphia Fusion",1186278.5,15
396,"paiN Gaming",1168349.32,119
411,"Immortals",1131165.15,118
766,"Seoul Dynasty",1130000,6
322,"Team Kinguin",1119008.47,119
136,"StarTale",1117702.92,159
558,"Heroic",1111397.85,76
24680,"Hero JiuJ",1104361.96,5
548,"Method",1088178.04,111
234,"Elevate",1081431.98,150
719,"GamersOrigin",1041248.06,206
24884,"9z Team",1031730.93,24
494,"Team Spirit",1016972.11,127
319,"Vega Squadron",1010673.01,159
913,"Yoshimoto",1006400,3
119,"Meet Your Makers",996205.04,268
193,"Team LDLC.com",980648.35,188
846,"Nova eSports",962284.58,42
856,"Vancouver Titans",950000,4
963,"FURIA Esports",946945.26,64
215,"FlipSid3 Tactics",939555.31,324
655,"Black Dragons e-Sports",934281.95,48
740,"AGO Esports",929105.22,110
833,"Solary",901293.3,150
795,"DragonX",899289.63,25
24703,"DAMWON Gaming",882163.46,12
916,"JD Gaming",871389.2,15
194,"Titan eSports",860876.11,75
805,"AVANGAR",858469.01,69
621,"Ballistix",855000,10
24748,"MAD Lions",833556.43,24
241,"Team KaLiBeR",821775.52,49
365,"Str8 Rippin",821040.45,88
114,"mTw",813379.48,278
530,"Team Allegiance",798580.7,64
546,"Team expert",787335.85,274
420,"Space Soldiers",782943.06,78
24786,"Chicago Huntsmen",782750,11
843,"Four Angry Men",772227.23,25
933,"Windigo Gaming",764124.2,104
342,"Star Horn Royal Club",759830.17,29
24841,"Buriram United Esports",757062.88,16
801,"OGN Entus",755073.68,30
769,"Shanghai Dragons",755000,5
505,"J Team",722000.01,42
24690,"Kungarna",716315.89,19
