20.03.2018;Corporate;Publishers & Developers;;Ubisoft;$440M
15.03.2018;Venture;AR/VR;;Virtuos;$15.0M
09.03.2018;Venture;Publishers & Developers;;Catalis Group;$3.87M
09.03.2018;Series b;Esports, Streaming;;Huya;$462M
08.03.2018;Venture;Mobile;;HQ Trivia;$15.0M
08.03.2018;Venture;Esports, Streaming;;Douyu;$632M
22.02.2018;Venture;Esports, Analytics;;FanAI;$2.50M
22.02.2018;Venture;Esports;;Vision Esports;$38.0M
20.02.2018;Venture;Publishers & Developers, Mobile;;Small Giant Games;$41.0M
19.02.2018;Grant;Esports, Social & Communication;;Female Legends;$664K
15.02.2018;Corporate;Publishers & Developers;;Kakao Games;$130M
15.02.2018;Ipo;Publishers & Developers;;Kakao Games;$132M
14.02.2018;Pre seed;Publishers & Developers, Social & Communication;;Chatterbox;$400K
13.02.2018;Ico;AR/VR, Streaming, Esports;;Sliver.tv;$20.0M
12.02.2018;Venture;Esports, Physical Gaming Location;;Game Digital;$4.50M
07.02.2018;Acquisition;Mobile, Publishers & Developers;;Tribeflame;$433K
07.02.2018;Venture;Streaming, AR/VR;;Vreal;$11.7M
07.02.2018;Corporate;Publishers & Developers;;Shanda Games;$474M
06.02.2018;Seed;Analytics;;RAWG;$1.00M
06.02.2018;Venture;Esports;;Team Vitality;$3.10M
06.02.2018;Venture;Mobile, AR/VR;;8th Wall;$8.00M
05.02.2018;Series a;Publishers & Developers, Mobile;;Tamatem;$2.50M
02.02.2018;Acquisition;Esports;;UMG Media;$26.4M
01.02.2018;Corporate;Publishers & Developers, Mobile;;Trailmix;$4.20M
01.02.2018;Venture;Streaming, Esports;;Caffeine;$46.0M
31.01.2018;Seed;Esports;;Epics.gg;$2.00M
31.01.2018;Acquisition;Publishers & Developers, Mobile;;Xiamen Yiwantang Internet Technology;$8.70M
31.01.2018;Acquisition;Publishers & Developers, Mobile;;Xunyou Internet Technology;$24.0M
31.01.2018;Acquisition;Publishers & Developers, Mobile;;Nanjing Haoyun Meicheng Electronics Technology;$34.2M
26.01.2018;Corporate;AR/VR;;Skydance Interactive;$100M
25.01.2018;Post ipo_equity;Publishers & Developers;;Starbreeze Studios;$30.0M
23.01.2018;Seed;Analytics, Esports;;Esports One;$3.00M
19.01.2018;Acquisition;Esports;;ESforce Holding;$100M
18.01.2018;Venture;Publishers & Developers, PC;;City State Entertainment;$7.50M
15.01.2018;Venture;Esports, Betting, Publishers & Developers, Analytics;;Engine Media;$12.1M
12.01.2018;Venture;Esports;;G:loot;$12.1M
12.01.2018;Venture;Esports;;G-Loot;$12.1M
11.01.2018;Corporate;Console, Publishers & Developers, PC;;Hardsuit Labs;$2.00M
08.01.2018;Seed;AR/VR;;XR Games;$2.60M
08.01.2018;Acquisition;Publishers & Developers, Mobile;;Moscow Studio Glu Mobile;$2.80M
05.01.2018;Venture;Mobile, AR/VR;;Cortopia;$2.50M
03.01.2018;Series d;Streaming, Esports, Mobile;;Chushou;$76.0M
21.12.2017;Venture;Gamestech;;Scalefast;$6.00M
18.12.2017;Seed;Publishers & Developers, Mobile;;Like a Boss Games;$1.60M
18.12.2017;Venture;Publishers & Developers;;Funcom;$10.6M
18.12.2017;Ipo;Publishers & Developers;;Sumo Group;$190M
15.12.2017;Acquisition;Gamestech;;LOLA;$10.0M
14.12.2017;Seed;Publishers & Developers;;Raw Fury;$600K
14.12.2017;Venture;AR/VR;;Glo;$3.00M
14.12.2017;Series b;Publishers & Developers;;nWay;$11.0M
14.12.2017;Ipo;Publishers & Developers;;Codemasters;$131M
13.12.2017;Series b;Esports, Mobile;;Skillz;$25.0M
13.12.2017;Acquisition;Publishers & Developers;;Sperasoft;$27.0M
12.12.2017;Series a;Publishers & Developers;;Manticore Games;$15.0M
07.12.2017;Acquisition;Publishers & Developers;;Goodgame Studios;$270M
06.12.2017;Corporate;Publishers & Developers;;Reto-Moto;$5.00M
04.12.2017;Acquisition;Publishers & Developers, Mobile;;Big Fish Games;$990M
22.11.2017;Acquisition;AR/VR;;Vrvana;$30.0M
20.11.2017;Ipo;Publishers & Developers, Mobile;;MAG Interactive;$68.0M
17.11.2017;Venture;Esports;;Winstrike;$10.0M
09.11.2017;Acquisition;Publishers & Developers;;Respawn Entertainment;$315M
09.11.2017;Corporate;Mobile;;Snap;$2.00B
07.11.2017;Seed;Publishers & Developers, Mobile;;Bon Games;$1.40M
07.11.2017;Series a;Mobile, Publishers & Developers;;Mojiworks;$2.77M
07.11.2017;Ico;Gamestech, Mobile;;Reality Gaming Group;$3.50M
06.11.2017;Ipo;Peripherals;;Razer;$528M
24.10.2017;Acquisition;Gamestech;;VMC;$66.4M
23.10.2017;Ico;Betting, Esports;;Unikrn;$40.0M
19.10.2017;Acquisition;Gamestech;;D3T;$3.96M
19.10.2017;Corporate;AR/VR;;The Kitchener;$4.60M
17.10.2017;Series d;Mobile, AR/VR;;Magic Leap;$502M
