"","Date","Avg_concur_viewers","Avg_concur_channels","Hours_watched","Active_streamers","Hours_streamed","Viewers_per_streamer"
"1",2020-11-20,2490726,104264,1734,NA,72567744,23.8949139716952
"2",2020-10-20,2385206,95074,1774,7844426,70719210,25.0851218502017
"3",2020-09-20,2202200,91861,1586,7461252,66139920,23.9794665611933
"4",2020-08-20,2178080,96309,1620,7709990,71653896,22.6086799243966
"5",2020-07-20,2115411,95809,1574,7463817,71281896,22.0813430664078
"6",2020-06-20,2262771,93932,1629,7158730,67631040,24.0865732657667
"7",2020-05-20,2359765,100364,1756,7398081,74670816,23.5165502945622
"8",2020-04-20,2488881,93750,1792,7213644,67500000,26.5481481481481
"9",2020-03-20,1638049,66011,1219,5080031,49112184,24.8207247309547
"10",2020-02-20,1410516,53816,982,3753539,37455936,26.2174732464302
"11",2020-01-20,1357375,52821,1010,3935308,39298824,25.7005146006405
"12",2019-12-20,1184935,45633,882,3353608,33950952,25.9786529697312
"13",2019-11-20,1222247,45644,880,3198707,32863680,26.7772811809268
"14",2019-10-20,1212368,45179,902,2973666,33613176,26.8347150534064
"15",2019-09-20,1219579,46184,878,2942889,33252480,26.4040456531362
"16",2019-08-20,1342856,48447,999,3188759,36044568,27.7156879782829
"17",2019-07-20,1232595,48055,917,3355426,35752920,25.6482547439482
"18",2019-06-20,1304579,47898,939,3396947,34486560,27.227998385458
"19",2019-05-20,1262560,48294,939,3933404,35930736,26.1336144074533
"20",2019-04-20,1234112,51261,889,4184467,36907920,24.0869710349432
"21",2019-03-20,1274016,54953,948,4389867,40885032,23.1869697448201
"22",2019-02-20,1311897,56295,882,4205001,37830240,23.3146815880629
"23",2019-01-20,1275970,55790,949,4537807,41507760,22.8631947375623
"24",2018-12-20,1136970,48134,846,4122463,35811696,23.6235670044781
"25",2018-11-20,1202989,45448,866,3743470,32722560,26.4649220598877
"26",2018-10-20,1146076,43505,853,3646616,32367720,26.3534163048865
"27",2018-09-20,1132031,44195,815,3670836,31820400,25.6125001571319
"28",2018-08-20,1150362,44333,856,3712170,32983752,25.9521718450951
"29",2018-07-20,1069217,41605,795,2957895,30954120,25.6831723854531
"30",2018-06-20,1095605,39701,789,3153852,28584720,27.602159475412
"31",2018-05-20,1024179,38701,762,3062437,28793544,26.46426573957
"32",2018-04-20,1013037,39451,729,3315212,28404720,25.6647486755722
"33",2018-03-20,969647,38946,721,3695563,28975824,24.8828126509879
"34",2018-02-20,915860,35502,615,2890347,23857344,25.7782257740007
"35",2018-01-20,967916,33546,720,2969173,24958224,28.8482065070015
"36",2017-12-20,780276,28613,581,2460341,21288072,27.2922789813939
"37",2017-11-20,800139,26766,576,2115552,19271520,29.8886647239035
"38",2017-10-20,786615,25697,585,2048513,19118568,30.5985259983907
"39",2017-09-20,732925,25014,528,1950271,18010080,29.3169158604515
"40",2017-08-20,717126,24683,534,2142869,18364152,29.0783914225933
"41",2017-07-20,761585,25775,567,2386623,19176600,29.5672851287507
"42",2017-06-20,709453,23385,511,1921765,16837200,30.349464281472
"43",2017-05-20,681177,22334,507,1804282,16616496,30.5118479852792
"44",2017-04-20,743599,22055,535,1804061,15879600,33.6910249628454
"45",2017-03-20,693883,23070,516,1953138,17164080,30.0627822755429
"46",2017-02-20,744912,24189,501,1894405,16255008,30.821270589347
"47",2017-01-20,811303,24140,604,1942933,17960160,33.6299899332745
"48",2016-12-20,658856,22266,490,1850334,16565904,29.5788264860161
"49",2016-11-20,624944,20715,450,NA,14914800,30.1713734009172
"50",2016-10-20,609294,19222,453,NA,14301168,31.6757344574933
"51",2016-09-20,534937,17848,385,NA,12850560,29.9597838537776
"52",2016-08-20,513664,16574,382,NA,12331056,30.9786931467994
"53",2016-07-20,599804,18007,446,NA,13397208,33.2905184423501
"54",2016-06-20,620227,18795,447,NA,13532400,33.0318347078124
"55",2016-05-20,604568,19369,450,NA,14410536,31.2271521336889
"56",2016-04-20,525828,16786,379,NA,12085920,31.3588042945841
"57",2016-03-20,658941,20238,490,NA,15057072,32.5428476399661
"58",2016-02-20,634183,20390,441,NA,14191440,31.0750706059427
"59",2016-01-20,645791,20045,480,NA,14913480,32.1856468108047
"60",2015-12-20,546688,17519,407,1872032,13034136,31.2256984275751
"61",2015-11-20,584254,17728,421,2113999,12764160,32.9829773365423
"62",2015-10-20,589846,15621,439,1678050,11622024,37.7731107765739
"63",2015-09-20,507415,16758,365,1793262,12065760,30.2508917797138
"64",2015-08-20,600036,17570,446,1816317,13072080,34.1185182465224
"65",2015-07-20,551280,16418,410,1677091,12214992,33.5653105626266
"66",2015-06-20,519908,15329,374,1591172,11036880,33.8863881821674
"67",2015-05-20,520005,15147,387,1599500,11269368,34.3408787431558
"68",2015-04-20,503592,14578,363,1538170,10496160,34.5840764622491
"69",2015-03-20,526885,14762,392,1567997,10982928,35.6917572436057
"70",2015-02-20,516474,15414,347,1644386,10358208,33.5000030893375
"71",2015-01-20,498183,14256,371,1533653,10606464,34.9786696112861
"72",2014-12-20,396091,11512,295,NA,8564928,34.4427880771444
"73",2014-11-20,392880,11206,283,NA,8068320,35.0754556090983
"74",2014-10-20,380596,9974,242,NA,6335152,38.1995570114182
"75",2014-09-20,383571,9752,276,NA,7021440,39.3081761006289
"76",2014-08-20,392267,10006,291,NA,7434458,39.1420598515722
"77",2014-07-20,364081,9183,271,NA,6832152,39.6653938612607
"78",2014-06-20,353086,8317,254,NA,5988240,42.4164696137763
"79",2014-05-20,330605,8209,246,NA,6107496,40.278372675152
"80",2014-04-20,311146,7783,224,NA,5603760,39.9731608776964
"81",2014-03-20,310824,8104,186,NA,4855647,38.3059147421549
"82",2014-02-20,302944,7166,204,NA,4815552,42.3627447071488
"83",2014-01-20,290265,6901,216,NA,5128593,42.1168144947357
"84",2013-12-20,252400,6573,188,NA,4890312,38.4433549434065
"85",2013-11-20,260900,6038,188,NA,4347360,43.2446358249604
"86",2013-10-20,213960,5501,159,NA,4092744,38.8492414868851
"87",2013-09-20,215156,5224,155,NA,3761280,41.2093755317339
"88",2013-08-20,225496,5515,168,NA,4103160,40.9440528763197
"89",2013-07-20,214278,5111,159,NA,3802584,41.8136719662209
"90",2013-06-20,219716,4603,105,NA,2189494,47.9562857902328
"91",2013-05-20,195712,4550,136,NA,3161492,43.0176638118964
"92",2013-04-20,191545,4432,138,NA,3191040,43.2460890493381
"93",2013-03-20,187833,4224,140,NA,3142656,44.5483056370153
"94",2013-02-20,165245,3512,111,NA,2360064,47.0326228441263
"95",2013-01-20,147967,3016,110,NA,2243904,49.0217050283791
"96",2012-12-20,120658,2457,89.8,NA,1828008,49.1245114901029
"97",2012-11-20,109818,2206,79.1,NA,1588320,49.8010476478292
"98",2012-10-20,99044,2047,73.7,NA,1522968,48.3923496751081
"99",2012-09-20,77764,1985,55.9,NA,1426223,39.1944317263149
