Month;Viewers;Channels;Watched;Active streamers;Hours streamed
November 2020;2,498,669;101,804;1,140M hrs;n/a;46,439,591
October 2020;2,385,206;95,074;1,774M hrs;7,844,426;70,719,210
September 2020;2,202,200;91,861;1,586M hrs;7,461,252;66,139,920
August 2020;2,178,080;96,309;1,620M hrs;7,709,990;71,653,896
July 2020;2,115,411;95,809;1,574M hrs;7,463,817;71,281,896
June 2020;2,262,771;93,932;1,629M hrs;7,158,730;67,631,040
May 2020;2,359,765;100,364;1,756M hrs;7,398,081;74,670,816
April 2020;2,488,881;93,75;1,792M hrs;7,213,644;67,500,000
March 2020;1,638,049;66,011;1,219M hrs;5,080,031;49,112,184
February 2020;1,410,516;53,816;982M hrs;3,753,539;37,455,936
January 2020;1,357,375;52,821;1,010M hrs;3,935,308;39,298,824
December 2019;1,184,935;45,633;882M hrs;3,353,608;33,950,952
November 2019;1,222,247;45,644;880M hrs;3,198,707;32,863,680
October 2019;1,212,368;45,179;902M hrs;2,973,666;33,613,176
September 2019;1,219,579;46,184;878M hrs;2,942,889;33,252,480
August 2019;1,342,856;48,447;999M hrs;3,188,759;36,044,568
July 2019;1,232,595;48,055;917M hrs;3,355,426;35,752,920
June 2019;1,304,579;47,898;939M hrs;3,396,947;34,486,560
May 2019;1,262,560;48,294;939M hrs;3,933,404;35,930,736
April 2019;1,234,112;51,261;889M hrs;4,184,467;36,907,920
March 2019;1,274,016;54,953;948M hrs;4,389,867;40,885,032
February 2019;1,311,897;56,295;882M hrs;4,205,001;37,830,240
January 2019;1,275,970;55,79;949M hrs;4,537,807;41,507,760
December 2018;1,136,970;48,134;846M hrs;4,122,463;35,811,696
November 2018;1,202,989;45,448;866M hrs;3,743,470;32,722,560
October 2018;1,146,076;43,505;853M hrs;3,646,616;32,367,720
September 2018;1,132,031;44,195;815M hrs;3,670,836;31,820,400
August 2018;1,150,362;44,333;856M hrs;3,712,170;32,983,752
July 2018;1,069,217;41,605;795M hrs;2,957,895;30,954,120
June 2018;1,095,605;39,701;789M hrs;3,153,852;28,584,720
May 2018;1,024,179;38,701;762M hrs;3,062,437;28,793,544
April 2018;1,013,037;39,451;729M hrs;3,315,212;28,404,720
March 2018;969,647;38,946;721M hrs;3,695,563;28,975,824
February 2018;915,86;35,502;615M hrs;2,890,347;23,857,344
January 2018;967,916;33,546;720M hrs;2,969,173;24,958,224
December 2017;780,276;28,613;581M hrs;2,460,341;21,288,072
November 2017;800,139;26,766;576M hrs;2,115,552;19,271,520
October 2017;786,615;25,697;585M hrs;2,048,513;19,118,568
September 2017;732,925;25,014;528M hrs;1,950,271;18,010,080
August 2017;717,126;24,683;534M hrs;2,142,869;18,364,152
July 2017;761,585;25,775;567M hrs;2,386,623;19,176,600
June 2017;709,453;23,385;511M hrs;1,921,765;16,837,200
May 2017;681,177;22,334;507M hrs;1,804,282;16,616,496
April 2017;743,599;22,055;535M hrs;1,804,061;15,879,600
March 2017;693,883;23,07;516M hrs;1,953,138;17,164,080
February 2017;744,912;24,189;501M hrs;1,894,405;16,255,008
January 2017;811,303;24,14;604M hrs;1,942,933;17,960,160
December 2016;658,856;22,266;490M hrs;1,850,334;16,565,904
November 2016;624,944;20,715;450M hrs;n/a;14,914,800
October 2016;609,294;19,222;453M hrs;n/a;14,301,168
September 2016;534,937;17,848;385M hrs;n/a;12,850,560
August 2016;513,664;16,574;382M hrs;n/a;12,331,056
July 2016;599,804;18,007;446M hrs;n/a;13,397,208
June 2016;620,227;18,795;447M hrs;n/a;13,532,400
May 2016;604,568;19,369;450M hrs;n/a;14,410,536
April 2016;525,828;16,786;379M hrs;n/a;12,085,920
March 2016;658,941;20,238;490M hrs;n/a;15,057,072
February 2016;634,183;20,39;441M hrs;n/a;14,191,440
January 2016;645,791;20,045;480M hrs;n/a;14,913,480
December 2015;546,688;17,519;407M hrs;1,872,032;13,034,136
November 2015;584,254;17,728;421M hrs;2,113,999;12,764,160
