"","id","GameName","TotalUSDPrize"
"1",231,"Dota 2",228227224.02
"2",245,"Counter-Strike: Global Offensive",103836476.59
"3",534,"Fortnite",99349617.41
"4",164,"League of Legends",81643219.72
"5",151,"StarCraft II",34243237.96
"6",426,"Overwatch",26049333.28
"7",504,"PLAYERUNKNOWN’S BATTLEGROUNDS",24591303.57
"8",328,"Hearthstone",23651978.24
"9",371,"Heroes of the Storm",18188482.65
"10",529,"Arena of Valor",15228710.62
"11",162,"Counter-Strike",13524629.57
"12",439,"Rainbow Six Siege",12214525.74
"13",409,"Rocket League",9172179.32
"14",351,"SMITE",8640112.75
"15",152,"StarCraft: Brood War",8376408.43
"16",423,"Halo 5: Guardians",7071480.97
"17",549,"Call of Duty: Black Ops 4",6731938.95
"18",626,"Call of Duty: Modern Warfare",6617284.5
"19",352,"CrossFire",6497845.02
"20",567,"Magic: The Gathering Arena",6012000
"21",158,"WarCraft III",5811479.73
"22",165,"World of WarCraft",4957837.61
"23",490,"Call of Duty: World War II",4559271
"24",566,"Apex Legends",4528141.69
"25",455,"Call of Duty: Infinite Warfare",4156205.06
"26",425,"Call of Duty: Black Ops III",3939783.29
"27",554,"PLAYERUNKNOWN'S BATTLEGROUNDS Mobile",3839853.07
"28",345,"World of Tanks",3656496.59
"29",464,"Clash Royale",3363348.27
"30",556,"FIFA 19",3242642.34
"31",204,"Super Smash Bros. Melee",3212402.51
"32",564,"Shadowverse",3211177.09
"33",226,"Counter-Strike: Source",3117222.29
"34",452,"Gears of War 4",3087285
"35",242,"Heroes of Newerth",2915206.56
"36",364,"Call of Duty: Advanced Warfare",2608808.93
"37",648,"Call of Duty: Warzone",2567488.97
"38",499,"Quake Champions",2409118.25
"39",518,"FIFA 18",2233697.69
"40",434,"Street Fighter V",2202726.43
"41",447,"Paladins",2174458.6
"42",155,"Halo 3",2158079.4
"43",419,"H1Z1",2067122
"44",536,"Street Fighter V: Arcade Edition",2017135.95
"45",621,"FIFA 20",1813713.72
"46",406,"Tekken 7",1687721.25
"47",273,"Call of Duty: Ghosts",1594185.25
"48",646,"VALORANT",1579398.6
